num_pc,cumulative_var
1,0.7240891
2,0.84117806
3,0.89752203
4,0.91577977
5,0.9291253
6,0.93701917
7,0.9439714
8,0.94915944
9,0.9536026
10,0.95680755
11,0.95943075
12,0.9618214
13,0.9639332
14,0.96585816
15,0.9677005
16,0.96929806
17,0.97084606
18,0.97226423
19,0.9735768
20,0.9748197
21,0.97592837
22,0.97694224
23,0.97789395
24,0.9788074
25,0.97967607
26,0.980488
27,0.9812773
28,0.9820378
29,0.982771
30,0.983464
31,0.9841028
32,0.9847337
33,0.98536307
34,0.9859474
35,0.9865054
36,0.98704463
37,0.98757267
38,0.98805964
39,0.98852825
40,0.98896825
41,0.98938835
42,0.9897995
43,0.9901966
44,0.99058616
45,0.99096155
46,0.9913231
47,0.9916746
48,0.9919973
49,0.9923079
50,0.99261373
